Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,186,7,Some Random Commen with Id 0
1,0,3,134,2,Some Random Commen with Id 1
2,0,3,1,4,Some Random Commen with Id 2
3,0,3,159,6,Some Random Commen with Id 3
4,0,3,31,3,Some Random Commen with Id 4
5,0,3,1,7,Some Random Commen with Id 5
6,0,3,73,6,Some Random Commen with Id 6
7,0,3,62,0,Some Random Commen with Id 7
8,0,3,96,0,Some Random Commen with Id 8
9,1,2,58,4,Some Random Commen with Id 9
10,1,2,122,3,Some Random Commen with Id 10
11,1,2,42,1,Some Random Commen with Id 11
12,1,2,14,1,Some Random Commen with Id 12
13,1,2,135,3,Some Random Commen with Id 13
14,1,2,22,7,Some Random Commen with Id 14
15,1,2,162,0,Some Random Commen with Id 15
16,1,2,80,3,Some Random Commen with Id 16
17,2,4,7,0,Some Random Commen with Id 17
18,2,4,82,4,Some Random Commen with Id 18
19,2,4,95,3,Some Random Commen with Id 19
20,2,4,113,9,Some Random Commen with Id 20
21,2,4,13,2,Some Random Commen with Id 21
22,2,4,162,3,Some Random Commen with Id 22
23,3,4,34,4,Some Random Commen with Id 23
24,3,4,74,9,Some Random Commen with Id 24
25,3,4,150,4,Some Random Commen with Id 25
26,3,4,137,3,Some Random Commen with Id 26
27,3,4,87,0,Some Random Commen with Id 27
28,3,4,25,9,Some Random Commen with Id 28
29,3,4,126,6,Some Random Commen with Id 29
30,3,4,178,8,Some Random Commen with Id 30
31,4,8,168,4,Some Random Commen with Id 31
32,4,8,65,0,Some Random Commen with Id 32
33,4,8,167,1,Some Random Commen with Id 33
34,4,8,186,7,Some Random Commen with Id 34
35,5,2,8,2,Some Random Commen with Id 35
36,5,2,0,9,Some Random Commen with Id 36
37,5,2,147,9,Some Random Commen with Id 37
38,6,3,41,7,Some Random Commen with Id 38
39,7,9,146,8,Some Random Commen with Id 39
40,7,9,80,3,Some Random Commen with Id 40
41,7,9,137,3,Some Random Commen with Id 41
42,7,9,41,5,Some Random Commen with Id 42
43,7,9,126,2,Some Random Commen with Id 43
44,7,9,93,3,Some Random Commen with Id 44
45,7,9,128,3,Some Random Commen with Id 45
46,7,9,165,9,Some Random Commen with Id 46
47,7,9,96,0,Some Random Commen with Id 47
48,8,6,49,7,Some Random Commen with Id 48
49,8,6,178,9,Some Random Commen with Id 49
50,8,6,27,1,Some Random Commen with Id 50
51,8,6,198,7,Some Random Commen with Id 51
52,8,6,198,4,Some Random Commen with Id 52
53,8,6,197,3,Some Random Commen with Id 53
54,9,4,31,4,Some Random Commen with Id 54
55,9,4,31,7,Some Random Commen with Id 55
56,9,4,112,3,Some Random Commen with Id 56
57,9,4,106,9,Some Random Commen with Id 57
58,9,4,76,5,Some Random Commen with Id 58
59,9,4,68,7,Some Random Commen with Id 59
60,9,4,60,5,Some Random Commen with Id 60
